ProductCode,Class,MainCategory,Category,SubCategory,SubCategoryClass,MainCategoryEN,CategoryEN,SubCategoryEN,SubCategoryClassEN,FullCategoryPath,ProductLevel
M1020589168,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Boyfriend,Denim All,Denim All,Denim Pants,Boyfriend,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1011043-90090,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Wide Leg,Denim All,Denim All,Denim Pants,Wide Leg,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010530-89661,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Straight,Denim All,Denim All,Denim Pants,Straight,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M101114-86012,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Boyfriend,Denim All,Denim All,Denim Pants,Boyfriend,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010349-86424,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Flare,Denim All,Denim All,Denim Pantolon,Flare,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M101225-83488,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Flare,Denim All,Denim All,Denim Pantolon,Flare,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1011044-89567,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Baggy,Denim All,Denim All,Denim Pants,Baggy,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1072886289,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Skinny,Denim All,Denim All,Denim Pants,Skinny,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010152-90061,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Wide Leg,Denim All,Denim All,Denim Pants,Wide Leg,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010152-89199,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Wide Leg,Denim All,Denim All,Denim Pants,Wide Leg,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010600-87777,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Baggy,Denim All,Denim All,Denim Pants,Baggy,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M100277-84421,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Mom,Denim All,Denim All,Denim Pants,Mom,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M101225-91318,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Flare,Denim All,Denim All,Denim Pantolon,Flare,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1070483497,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Skinny,Denim All,Denim All,Denim Pants,Skinny,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010763-88742,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Wide Leg,Denim All,Denim All,Denim Pants,Wide Leg,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M101077-83665,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Mom,Denim All,Denim All,Denim Pants,Mom,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M101072-83661,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Wide Leg,Denim All,Denim All,Denim Pants,Wide Leg,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1081191053,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Flare,Denim All,Denim All,Denim Pantolon,Flare,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010338-84789,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Wide Leg,Denim All,Denim All,Denim Pants,Wide Leg,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
M1010917-89182,Ticari Malzemeler,Denim All,Denim All,Denim Pantolon,Straight,Denim All,Denim All,Denim Pants,Straight,Ticari Malzemeler > Denim All > Denim All > Denim Pantolon,Detailed
